0,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,962.81,912.67,936.5,948.58,968.86,1016.65,1041.77,1073.68,1094.42,1115.55,1109.18,1140.46,1183.05,1227.19,1280.92,1245.67,1256.41,1290.12,1245.21,1214.62,1266.49,1268.16,1285.49,1277.71,1274.66,1277.98,1273.51,1260.57,1300.69,1296.55,1101.6
France,1060.05,1141.04,1139.61,1101.7,1070.28,1084.53,1110.01,1112.27,1155.77,1159.91,1143.18,1142.35,1112.81,1116.96,1126.7,1104.42,1101.85,1075.51,1053.35,1010.7,979.68,963.96,931.18,919.25,889.43,902.66,888,901.53,879.65,872.4,728.39
Germany,1537.29,1607.61,1621.66,1646.87,1631.97,1631.13,1658.88,1648.93,1650.72,1601.11,1570.43,1590.96,1537.78,1507.72,1490.49,1460.06,1457.24,1319.46,1399.07,1339.84,1357.64,1313.27,1305.39,1334.26,1298.32,1296.54,1321.88,1347.51,1279.24,1292.16,1168.2
Italy,1127.53,1134.52,1150.39,1119.8,1116.12,1153.95,1134.07,1145.14,1141.96,1132.53,1124.7,1102.6,1106.43,1095.88,1072.42,1039.47,1038.18,1005.71,946.61,875.99,853.39,828.88,772.21,706.48,671.28,710.44,704.79,713.69,730.33,709.05,585.49
Japan,2928.8,3023.09,3098.17,3044.27,3212.05,3234.18,3259.99,3224.35,3134.14,3181.52,3179.21,3076.01,3026.11,3117.38,3048.32,3085.12,2975.54,2891.68,2780.45,2495.38,2514.95,2512.02,2666.3,2552.17,2422.2,2335.94,2268.99,2244.13,2166.8,2112.39,1877.53
United Kingdom,1000.72,996.06,1007.18,1012.24,1001.67,989.95,1014.6,985.44,975.03,962.24,951.95,947.55,940.24,947.68,973.81,1001.77,991.9,964.18,944.15,899.3,884.79,867,843.67,828.55,829.31,851.88,870.48,882.03,871.23,853.76,657.19
United States,9309.47,9111.92,9301.15,9382.41,9623.49,9600.03,9951.11,10083.61,10251.98,10537.06,10654.94,10642.43,10641.83,10806.65,11199.44,11216.51,11072.75,11004.68,10275.43,9742.24,9892.91,9697.58,9472.09,9628.43,9692.96,9891.11,9965.48,10062.59,10303.76,10287.68,9035.32
